timesteps, current B1, voltage
0,26.219,24.586
1,24.9855,24.589
2,24.85,24.594
3,24.4105,24.586
4,24.335,24.581
5,24.7905,24.564
6,25.2555,24.55
7,25.243,24.548
8,25.4875,24.547
9,25.0495,24.541
10,24.14,24.549
11,23.5025,24.558
12,23.222,24.558
13,23.935,24.535
14,24.4345,24.533
15,24.816,24.513
16,25.4505,24.505
17,25.6455,24.497
18,26.4455,24.475
19,26.4225,24.462
20,24.7535,24.5
21,24.1855,24.504
22,23.865,24.496
23,23.626,24.52
24,23.595,24.502
25,23.4115,24.507
26,22.9175,24.508
27,22.738,24.505
28,22.738,24.498
29,22.775,24.497
30,23.676,24.482
31,24.486,24.466
32,25.6455,24.433
33,24.93,24.457
34,24.376,24.445
35,24.0245,24.453
36,24.191,24.444
37,24.386,24.437
38,24.288,24.436
39,23.7585,24.446
40,24.3105,24.429
41,24.9055,24.427
42,25.2045,24.41
43,25.607,24.395
44,25.455,24.398
45,25.384,24.392
46,25.354,24.392
47,25.3725,24.383
48,24.7165,24.397
49,25.1545,24.39
50,25.243,24.382
51,25.3185,24.37
52,25.358,24.375
53,23.8255,24.39
54,23.9535,24.392
55,25.6085,24.355
56,24.9425,24.359
57,25.8365,24.353
58,26.525,24.338
59,25.775,24.338
60,24.796,24.351
61,25.617,24.359
62,25.9675,24.334
63,25.314,24.339
64,23.737,24.357
65,22.429,24.389
66,21.83,24.405
67,22.809,24.381
68,24.2255,24.352
69,23.024,24.377
70,21.628,24.399
71,19.856,24.425
72,20.4555,24.419
73,20.7685,24.4
74,19.418,24.439
75,18.78,24.446
76,18.51,24.443
77,19.2785,24.449
78,20.293,24.417
79,21.534,24.384
80,23.2805,24.35
81,24.6225,24.328
82,28.3015,24.249
83,25.1035,24.312
84,25.465,24.303
85,25.0195,24.304
86,23.172,24.339
87,21.7105,24.365
88,21.8215,24.369
89,22.2485,24.348
90,22.4365,24.343
91,22.5315,24.345
92,23.38,24.328
93,23.838,24.31
94,24.09,24.311
95,25.163,24.289
96,25.882,24.259
97,26.067,24.26
98,25.95,24.256
99,25.6995,24.261
100,25.408,24.27
101,24.4715,24.274
102,24.4715,24.292
103,24.365,24.275
104,24.0175,24.284
105,24.3505,24.276
106,24.096,24.276
107,23.541,24.285
108,23.9435,24.284
109,24.887,24.256
110,26.76,24.213
111,26.669,24.207
112,25.842,24.231
113,24.3005,24.255
114,23.504,24.266
115,22.872,24.283
116,22.93,24.285
117,23.505,24.28
118,23.357,24.284
119,24.8415,24.237
120,25.2075,24.239
121,26.753,24.198
122,27.221,24.177
123,26.178,24.203
124,25.9035,24.207
125,25.691,24.218
126,25.848,24.207
127,24.85,24.217
128,24.245,24.235
129,23.915,24.233
130,24.106,24.229
131,23.959,24.229
132,25.014,24.203
133,25.4905,24.218
134,26.5905,24.184
135,26.6035,24.182
136,26.484,24.182
137,26.145,24.176
138,25.657,24.186
139,24.171,24.21
140,24.83,24.193
141,25.8905,24.186
142,26.138,24.181
143,25.7765,24.173
144,25.919,24.191
145,25.7325,24.189
146,24.3205,24.189
147,24.4545,24.194
148,24.429,24.195
149,24.0045,24.193
150,22.8635,24.22
151,22.186,24.234
152,22.156,24.234
153,23.602,24.208
154,25.004,24.184
155,23.3645,24.204
156,22.1275,24.232
157,22.4875,24.229
158,26.74,24.153
159,29.185,24.092
160,29.978,24.078
161,29.05,24.094
162,29.79,24.078
163,30.123,24.079
164,29.941,24.071
165,28.959,24.085
166,28.525,24.085
167,24.8615,24.147
168,22.9375,24.187
169,23.7245,24.173
170,25.378,24.14
171,25.237,24.146
172,25.0865,24.143
173,25.8775,24.142
174,26.4485,24.124
175,27.5315,24.096
176,26.4225,24.12
177,26.683,24.108
178,26.6675,24.11
179,26.393,24.11
180,26.706,24.098
181,26.864,24.11
182,26.908,24.099
183,26.7915,24.108
184,26.5565,24.104
185,26.42,24.116
186,27.3665,24.096
187,27.2055,24.088
188,27.059,24.084
189,26.249,24.102
190,28.4695,24.056
191,27.5455,24.068
192,26.6535,24.09
193,26.757,24.079
194,26.925,24.083
195,27.3265,24.062
196,27.248,24.064
197,26.7315,24.091
198,28.2015,24.06
199,28.5975,24.047
200,27.739,24.05
201,26.911,24.075
202,27.395,24.063
203,26.952,24.071
204,27.244,24.06
205,27.735,24.052
206,28.442,24.038
207,28.3695,24.042
208,28.431,24.039
209,27.85,24.048
210,29.2295,24.013
211,27.581,24.041
212,27.7165,24.045
213,26.8425,24.052
214,26.72,24.054
215,27.1915,24.047
216,28.414,24.028
217,28.0195,24.041
218,27.389,24.046
219,28.341,24.021
220,28.4125,24.023
221,27.4575,24.024
222,27.95,24.028
223,28.344,24.026
224,28.2415,24.021
225,28.0435,24.008
226,28.9875,23.996
227,28.3115,24.015
228,28.747,24.001
229,28.996,23.992
230,28.3115,24.002
231,28.6345,23.996
232,27.14,24.027
233,28.546,23.997
234,25.946,24.035
235,27.4785,24.02
236,26.5365,24.029
237,26.43,24.033
238,26.319,24.039
239,27.4575,24.016
240,27.53,24
241,27.359,24.012
242,27.981,23.987
243,28.566,23.996
244,28.6815,23.975
245,28.2215,23.985
246,27.241,23.996
247,28.334,23.984
248,26.2735,24.007
249,26.8385,24.012
250,27.2425,24.001
251,27.1285,24.017
252,25.3765,24.037
253,22.391,24.083
254,21.262,24.113
255,21.823,24.097
256,21.574,24.1
257,24.5,24.063
258,25.876,24.019
259,25.6315,24.04
260,25.832,24.033
261,25.8095,24.018
262,25.6245,24.028
263,24.5015,24.037
264,24.2365,24.042
265,23.9195,24.065
266,23.3545,24.059
267,23.0695,24.079
268,23.2645,24.064
269,25.7665,24.034
270,25.237,24.037
271,24.742,24.038
272,24.3105,24.045
273,24.009,24.051
274,24.8005,24.026
275,24.4445,24.047
276,23.9305,24.055
277,24.1115,24.054
278,23.542,24.065
279,24.934,24.026
280,25.771,24.018
281,25.116,24.015
282,24.877,24.023
283,24.6895,24.035
284,25.5445,24.021
285,26.8655,24.001
286,25.2555,24.017
287,24.281,24.031
288,24.5725,24.037
289,24.524,24.034
290,23.959,24.037
291,24.9225,24.02
292,24.947,24.018
293,24.5115,24.041
294,23.6335,24.045
295,23.417,24.04
296,23.7685,24.026
297,23.938,24.037
298,25.959,23.996
299,25.334,24.008
300,24.2395,24.021
301,24.9595,24.003
302,25.647,24.01
303,25.3755,24.006
304,25.8095,24.001
305,25.549,23.999
306,26.918,23.971
307,27.9755,23.953
308,25.4835,23.99
309,19.0635,24.124
310,16.584,24.143
311,16.543,24.171
312,15.78,24.172
313,16.8275,24.157
314,18.2235,24.128
315,15.1455,24.186
316,15.454,24.184
317,16.425,24.168
318,16.742,24.174
319,18.057,24.145
320,18.4915,24.137
321,17.354,24.149
322,17.966,24.147
323,16.066,24.179
324,15.934,24.19
325,16.439,24.179
326,15.1795,24.197
327,19.644,24.127
328,19.449,24.129
329,17.7255,24.156
330,16.499,24.184
331,19.789,24.119
332,19.8065,24.117
333,20.3655,24.113
334,18.9865,24.13
335,13.9755,24.217
336,13.318,24.232
337,17.593,24.164
338,16.9045,24.169
339,16.694,24.174
340,18.4385,24.151
341,19.102,24.143
342,19.287,24.126
343,15.5265,24.195
344,17.0995,24.17
345,18.696,24.164
346,22.933,24.065
347,23.528,24.049
348,19.5785,24.112
349,18.057,24.148
350,17.579,24.15
351,16.796,24.173
352,17.586,24.174
353,20.2075,24.112
354,22.6755,24.082
355,24.3875,24.039
356,25.4035,24.013
357,25.314,24.01
358,24.1155,24.022
359,22.637,24.065
360,24.0815,24.024
361,22.1075,24.083
362,23.0955,24.046
363,23.9265,24.034
364,24.551,24.026
365,23.9265,24.023
366,23.4455,24.034
367,23.2875,24.039
368,22.7365,24.068
369,21.6465,24.066
370,20.6375,24.089
371,19.2955,24.113
372,16.7875,24.147
373,17.142,24.143
374,18.8215,24.12
375,20.5505,24.082
376,19.5955,24.11
377,22.395,24.058
378,21.9125,24.082
379,21.5055,24.057
380,20.871,24.074
381,20.956,24.083
382,22.926,24.042
383,22.6655,24.041
384,25.57,23.993
385,29.211,23.937
386,30.4945,23.907
387,28.636,23.911
388,26.2675,23.967
389,24.4845,23.985
390,24.1045,24
391,24.83,23.996
392,25.0835,23.984
393,23.2005,24.015
394,22.7865,24.032
395,23.804,23.999
396,23.256,24.029
397,21.184,24.047
398,19.469,24.071
399,19.7905,24.075
400,26.854,23.937
401,26.168,23.948
402,23.854,24.002
403,22.586,24.011
404,23.235,24.009
405,23.579,23.998
406,21.705,24.024
407,22.3735,24.024
408,23.7015,23.986
409,23.9635,23.977
410,24.1015,23.993
411,23.4555,24.006
412,23.337,23.99
413,21.665,24.013
414,22.7425,24.007
415,22.068,24.016
416,21.837,24.018
417,21.406,24.027
418,22.465,24.01
419,22.0405,24.006
420,20.707,24.04
421,20.2815,24.043
422,21.2155,24.037
423,21.5455,24.027
424,20.727,24.036
425,19.331,24.068
426,19.1675,24.075
427,18.241,24.078
428,18.047,24.093
429,16.943,24.107
430,17.0765,24.102
431,17.747,24.089
432,16.9825,24.118
433,17.33,24.1
434,19.2455,24.078
435,19.657,24.07
436,17.9165,24.1
437,17.936,24.09
438,18.4445,24.084
439,18.009,24.085
440,17.5805,24.107
441,19.042,24.061
442,19.657,24.06
443,20.4965,24.047
444,18.4315,24.08
445,19.076,24.086
446,21.6435,24.029
447,19.4105,24.061
448,17.804,24.087
449,15.518,24.129
450,19.668,24.059
451,19.946,24.055
452,19.8375,24.069
453,22.415,24.006
454,21.642,24.019
455,21.9725,24.011
456,18.9325,24.066
457,20.4085,24.035
458,20.683,24.042
459,20.771,24.026
460,20.4155,24.038
461,19.153,24.063
462,20.125,24.046
463,22.5315,24.004
464,21.877,24.023
465,21.6975,24.012
466,23.4285,23.971
467,23.9765,23.966
468,22.069,24.01
469,20.0665,24.039
470,18.1225,24.068
471,19.402,24.045
472,20.296,24.031
473,19.422,24.042
474,22.3825,23.997
475,26.6035,23.907
476,22.015,23.991
477,22.526,23.987
478,27.3875,23.896
479,27.0745,23.905
480,25.949,23.9
481,22.835,23.969
482,23.2505,23.957
483,24.8645,23.929
484,26.272,23.888
485,22.546,23.968
486,20.9405,23.996
487,20.6815,23.994
488,21.3805,23.978
489,21.8285,23.98
490,19.755,24.013
491,18.292,24.048
492,16.812,24.068
493,16.271,24.08
494,17.185,24.062
495,18.3005,24.044
496,19.859,24.023
497,20.502,23.999
498,19.126,24.038
499,18.6765,24.039
500,19.466,24.021
501,20.845,24.001
502,21.6665,23.979
503,21.823,24.007
504,21.88,23.971
505,21.8515,23.972
506,21.42,23.988
507,20.871,23.99
508,20.478,23.998
509,20.2575,24.005
510,20.4085,23.995
511,23.0085,23.953
512,22.378,23.961
513,20.7785,23.982
514,18.4785,24.039
515,17.5305,24.04
516,18.8985,24.029
517,20.992,23.992
518,19.8815,24.014
519,20.323,24.005
520,18.82,24.026
521,17.673,24.042
522,17.081,24.052
523,16.281,24.074
524,13.1655,24.12
525,14.774,24.098
526,17.979,24.04
527,18.1765,24.038
528,17.2675,24.054
529,13.8545,24.107
530,13.21,24.122
531,15.5795,24.084
532,20.871,23.99
533,17.925,24.041
534,15.376,24.084
535,12.4525,24.135
536,11.8875,24.153
537,13.591,24.131
538,16.472,24.077
539,16.846,24.073
540,15.114,24.105
541,15.111,24.11
542,17.8495,24.06
543,17.6345,24.068
544,16.459,24.092
545,14.9875,24.104
546,16.8945,24.071
547,18.2265,24.04
548,17.6815,24.055
549,17.407,24.065
550,16.6865,24.063
551,15.0075,24.101
552,17.5465,24.066
553,19.1075,24.032
554,20.1665,24.006
555,20.252,24
556,19.7765,24.012
557,19.725,24.013
558,20.3085,23.997
559,20.9775,23.984
560,21.0515,23.983
561,20.996,23.989
562,22.2615,23.971
563,22.97,23.946
564,21.494,23.964
565,19.254,24.009
566,18.4785,24.016
567,17.6415,24.031
568,18.686,24.021
569,20.1235,23.986
570,20.488,24.007
571,20.972,23.974
572,21.423,23.966
573,21.678,23.968
574,21.689,23.96
575,20.75,23.979
576,20.222,23.983
577,21.0075,23.986
578,22.0095,23.946
579,22.408,23.943
580,21.917,23.944
581,22.664,23.932
582,22.8275,23.93
583,23.195,23.908
584,23.027,23.92
585,23.209,23.911
586,25.116,23.896
587,24.4955,23.882
588,24.278,23.876
589,24.3405,23.873
590,25.284,23.861
591,23.6335,23.89
592,21.6805,23.924
593,23.1565,23.898
594,22.122,23.938
595,21.2565,23.935
596,21.3745,23.934
597,20.613,23.944
598,23.104,23.897
599,26.1625,23.834
600,26.2035,23.829
601,24.2765,23.864
602,25.0265,23.863
603,24.0715,23.874
604,22.3365,23.897
605,20.871,23.932
606,19.314,23.95
607,20.891,23.935
608,20.881,23.933
609,22.55,23.905
610,22.2215,23.9
611,22.9345,23.88
612,22.815,23.902
613,22.4945,23.885
614,23.054,23.878
615,21.974,23.897
616,22.852,23.879
617,22.294,23.891
618,19.082,23.955
619,20.1035,23.964
620,20.4255,23.947
621,19.0035,23.953
622,20.8495,23.926
623,21.3915,23.902
624,22.8375,23.873
625,22.667,23.893
626,24.009,23.843
627,24.9,23.832
628,26.2465,23.818
629,21.0945,23.898
630,19.3025,23.93
631,18.622,23.945
632,19.2795,23.946
633,19.469,23.956
634,21.494,23.898
635,24.4345,23.833
636,21.4445,23.889
637,20.078,23.929
638,18.9055,23.947
639,16.8875,23.97
640,13.974,24.033
641,19.119,23.944
642,21.8515,23.881
643,22.075,23.882
644,20.881,23.937
645,17.112,23.974
646,19.6155,23.961
647,21.036,23.908
648,21.581,23.89
649,23.148,23.857
650,22.253,23.878
651,20.9265,23.929
652,21.3005,23.883
653,18.881,23.96
654,19.893,23.948
655,19.4905,23.928
656,18.232,23.952
657,17.851,23.96
658,19.731,23.925
659,16.2225,23.982
660,16.6,23.982
661,16.8075,23.98
662,16.4175,24.006
663,20.952,23.905
664,19.069,23.933
665,16.7195,23.977
666,16.022,24.001
667,18.759,23.955
668,19.8845,23.921
669,20.5575,23.919
670,20.7785,23.906
671,21.076,23.89
672,18.0715,23.951
673,17.616,23.962
674,18.147,23.955
675,16.325,23.996
676,16.291,23.983
677,18.5125,23.962
678,18.5725,23.956
679,19.795,23.919
680,19.758,23.925
681,19.8165,23.919
682,17.929,23.957
683,18.541,23.952
684,19.866,23.913
685,17.9405,23.951
686,18.1225,23.953
687,21.1015,23.91
688,21.9055,23.875
689,22.768,23.853
690,22.4435,23.853
691,20.619,23.9
692,19.9485,23.903
693,18.9835,23.924
694,19.6955,23.921
695,19.509,23.932
696,19.2425,23.944
697,19.17,23.927
698,18.4415,23.94
699,20.206,23.899
700,20.801,23.887
701,21.009,23.878
702,22.6625,23.87
703,21.366,23.882
704,20.182,23.895
705,18.453,23.933
706,19.499,23.909
707,18.9055,23.918
708,20.851,23.879
709,19.442,23.909
710,19.8645,23.905
711,20.36,23.896
712,20.2345,23.9
713,20.01,23.9
714,22.818,23.841
715,23.787,23.823
716,22.4405,23.836
717,21.3205,23.859
718,20.108,23.874
719,19.788,23.891
720,19.59,23.883
721,19.446,23.896
722,19.287,23.916
723,19.99,23.885
724,20.9835,23.865
725,21.2325,23.864
726,21.0345,23.861
727,21.7375,23.861
728,21.779,23.844
729,22.5245,23.852
730,22.4935,23.832
731,22.351,23.827
732,22.439,23.829
733,22.1235,23.836
734,23.195,23.83
735,24.1215,23.793
736,24.11,23.806
737,24.369,23.798
738,23.72,23.794
739,22.3895,23.818
740,17.8025,23.897
741,15.8585,23.945
742,15.554,23.953
743,16.116,23.949
744,19.7635,23.894
745,19.439,23.88
746,18.0855,23.902
747,19.079,23.879
748,20.461,23.856
749,19.977,23.87
750,20.391,23.86
751,20.044,23.856
752,19.193,23.904
753,18.3505,23.911
754,17.3555,23.927
755,18.4445,23.899
756,20.6045,23.856
757,20.639,23.853
758,19.55,23.874
759,18.807,23.884
760,19.146,23.874
761,20.5095,23.86
762,21.567,23.844
763,18.6235,23.889
764,20.999,23.853
765,20.8365,23.85
766,20.717,23.847
767,19.53,23.869
768,17.5335,23.915
769,18.464,23.897
770,19.96,23.864
771,21.0945,23.834
772,22.67,23.809
773,22.207,23.822
774,20.364,23.845
775,20.276,23.847
776,20,23.847
777,20.195,23.85
778,20.8365,23.839
779,20.3755,23.847
780,20.898,23.825
781,21.1685,23.832
782,21.3265,23.822
783,20.808,23.831
784,19.842,23.86
785,19.671,23.863
786,21.7945,23.823
787,21.2865,23.819
788,20.3825,23.841
789,19.7595,23.847
790,20.666,23.827
791,23.743,23.78
792,23.922,23.766
793,22.909,23.79
794,23.42,23.786
795,23.653,23.771
796,23.901,23.764
797,23.2705,23.768
798,22.2855,23.782
799,24.5325,23.753
800,25.4435,23.735
801,25.522,23.729
802,25.361,23.728
803,25.398,23.744
804,25.24,23.738
805,25.7795,23.714
806,23.9195,23.74
807,25.4865,23.715
808,24.2565,23.736
809,22.7255,23.761
810,22.065,23.773
811,22.156,23.777
812,23.0895,23.763
813,22.529,23.764
814,21.911,23.793
815,19.2555,23.821
816,21.009,23.794
817,24.386,23.737
818,26.3345,23.711
819,26.292,23.703
820,24.756,23.714
821,21.446,23.776
822,19.402,23.807
823,18.84,23.814
824,23.444,23.736
825,24.463,23.721
826,26.3885,23.69
827,25.845,23.711
828,24.513,23.722
829,21.9795,23.771
830,20.343,23.784
831,20.377,23.781
832,18.1455,23.823
833,15.4015,23.88
834,17.835,23.83
835,20.263,23.788
836,23.05,23.764
837,22.846,23.75
838,20.774,23.781
839,20.0555,23.791
840,19.718,23.798
841,19.7965,23.793
842,20.683,23.778
843,21.376,23.769
844,23.3545,23.75
845,23.861,23.733
846,23.498,23.725
847,22.0435,23.742
848,21.1785,23.761
849,21.0145,23.766
850,20.2135,23.78
851,18.41,23.805
852,18.8925,23.808
853,24.0815,23.729
854,20.36,23.781
855,19.3255,23.794
856,18.097,23.816
857,15.1495,23.872
858,19.177,23.798
859,23.801,23.722
860,25.489,23.696
861,21.5085,23.75
862,19.3055,23.805
863,19.728,23.792
864,20.3725,23.781
865,21.5325,23.755
866,27.0475,23.663
867,28.2445,23.638
868,29.6775,23.631
869,30.577,23.608
870,28.3055,23.626
871,26.773,23.647
872,24.3465,23.678
873,25.2285,23.675
874,23.555,23.691
875,24.635,23.672
876,23.4825,23.696
877,26.1695,23.654
878,25.1505,23.67
879,25.6455,23.67
880,25.61,23.658
881,26.313,23.642
882,27.402,23.619
883,27.8215,23.605
884,25.811,23.647
885,25.0195,23.658
886,24.634,23.66
887,21.187,23.716
888,20.0895,23.728
889,20.2985,23.73
890,20.8225,23.719
891,20.5505,23.729
892,20.918,23.718
893,20.912,23.722
894,21.033,23.713
895,23.3985,23.676
896,22.6515,23.698
897,23.6035,23.682
898,23.821,23.67
899,24.0945,23.665
900,24.0415,23.67
901,24.0875,23.673
902,23.558,23.683
903,23.6245,23.674
904,24.1825,23.665
905,24.194,23.657
906,23.9305,23.659
907,24.2765,23.654
908,24.07,23.66
909,24.537,23.651
910,24.682,23.635
911,24.89,23.651
912,25.0125,23.652
913,25.0325,23.627
914,24.366,23.644
915,24.399,23.642
916,24.803,23.639
917,24.584,23.632
918,24.339,23.647
919,24.069,23.66
920,24.18,23.644
921,24.4045,23.642
922,24.355,23.641
923,24.1585,23.635
924,24.224,23.63
925,24.1215,23.66
926,23.952,23.632
927,24.07,23.642
928,24.029,23.631
929,24.54,23.626
930,23.4485,23.64
931,24.3975,23.624
932,24.5015,23.616
933,24.08,23.633
934,24.1385,23.637
935,23.8965,23.637
936,24.366,23.627
937,25.25,23.604
938,25.1675,23.606
939,24.6395,23.614
940,24.806,23.61
941,24.275,23.606
942,23.474,23.625
943,24.4215,23.628
944,24.023,23.61
945,23.935,23.628
946,23.505,23.628
947,23.4525,23.621
948,24.059,23.609
949,24.0775,23.608
950,24.4715,23.606
951,24.5085,23.611
952,24.7745,23.597
953,24.5695,23.603
954,24.631,23.599
955,24.8515,23.59
956,24.769,23.595
957,24.93,23.593
958,24.866,23.595
959,25.048,23.579
960,24.92,23.594
961,24.766,23.591
962,24.073,23.598
963,24.9155,23.585
964,25.3825,23.577
965,25.6855,23.562
966,25.129,23.57
967,24.9155,23.577
968,24.631,23.591
969,24.661,23.584
970,25.041,23.57
971,25.287,23.57
972,24.6565,23.579
973,24.695,23.572
974,24.6195,23.566
975,24.8215,23.563
976,24.682,23.579
977,24.4885,23.586
978,25.0125,23.563
979,24.3265,23.573
980,24.9225,23.562
981,25.0435,23.553
982,25.1035,23.553
983,24.857,23.557
984,25.014,23.569
985,24.591,23.565
986,24.867,23.553
987,25.0595,23.553
988,24.5385,23.551
989,24.312,23.558
990,24.477,23.565
991,24.5315,23.56
992,24.709,23.547
993,24.9215,23.552
994,24.799,23.56
995,24.7475,23.548
996,24.705,23.55
997,25.273,23.541
998,26.7985,23.517
999,25.718,23.532
1000,25.8335,23.52
1001,25.596,23.525
1002,25.472,23.537
1003,25.1545,23.521
1004,25.2,23.518
1005,24.8075,23.531
1006,23.969,23.544
1007,20.4595,23.609
1008,15.8655,23.678
1009,17.112,23.669
1010,20.3925,23.639
1011,24.026,23.571
1012,23.0455,23.574
1013,21.732,23.583
1014,18.9595,23.632
1015,17.8365,23.653
1016,19.3165,23.63
1017,21.0955,23.614
1018,21.8315,23.595
1019,21.702,23.604
1020,21.382,23.599
1021,20.629,23.605
1022,20.734,23.614
1023,21.225,23.606
1024,20.6745,23.615
1025,20.0225,23.611
1026,19.768,23.624
1027,20.138,23.633
1028,19.607,23.631
1029,19.486,23.631
1030,18.507,23.645
1031,22.079,23.59
1032,22.2355,23.58
1033,20.9035,23.606
1034,20.168,23.627
1035,19.97,23.628
1036,19.177,23.635
1037,19.0305,23.635
1038,18.672,23.636
1039,20.878,23.595
1040,20.0225,23.616
1041,20.1365,23.62
1042,20.5735,23.612
1043,21.2935,23.611
1044,20.289,23.62
1045,21.268,23.589
1046,20.8635,23.609
1047,21.1055,23.595
1048,21.995,23.581
1049,20.451,23.603
1050,19.0465,23.63
1051,19.97,23.623
1052,20.683,23.609
1053,19.573,23.614
1054,18.682,23.626
1055,20.4025,23.605
1056,17.996,23.638
1057,19.483,23.628
1058,20.629,23.606
1059,21.1725,23.599
1060,21.581,23.58
1061,22.321,23.576
1062,20.397,23.598
1063,18.981,23.616
1064,18.7345,23.637
1065,18.4955,23.63
1066,19.0095,23.633
1067,17.5405,23.647
1068,15.3105,23.682
1069,15.622,23.691
1070,16.775,23.668
1071,18.9425,23.623
1072,18.867,23.629
1073,19.0905,23.627
1074,17.7555,23.643
1075,17.7525,23.644
1076,18.339,23.651
1077,21.15,23.583
1078,20.391,23.609
1079,20.071,23.604
1080,20.6745,23.592
1081,19.499,23.611
1082,18.9865,23.624
1083,18.5825,23.625
1084,20.3455,23.609
1085,22.203,23.576
1086,20.939,23.586
1087,20.353,23.601
1088,21.541,23.575
1089,22.19,23.562
1090,20.31,23.587
1091,18.477,23.614
1092,17.6345,23.635
1093,17.0085,23.638
1094,18.228,23.635
1095,16.873,23.642
1096,16.8035,23.651
1097,15.777,23.658
1098,14.949,23.671
1099,18.608,23.628
1100,17.061,23.658
1101,15.968,23.665
1102,14.071,23.695
1103,14.8875,23.684
1104,17.2575,23.653
1105,17.4695,23.634
1106,16.0475,23.664
1107,17.905,23.638
1108,20.4595,23.594
1109,18.9355,23.621
1110,19.7055,23.611
1111,19.264,23.612
1112,18.7035,23.627
1113,20.4295,23.59
1114,19.5755,23.597
1115,20.293,23.579
1116,20.794,23.571
1117,20.834,23.583
